id,session_id,task_id,task_no,score,max_score,users_answer,submission_time,verdict
10371590,355094,9982,1,0,1,,,none
10371591,355094,9985,2,0,1,,,none
10371592,355094,9987,3,0,1,,,none
10371593,355094,9991,4,0,1,,,none
10371594,355094,9992,5,0,1,,,none
10371595,355094,9996,6,0,1,,,none
10371596,355094,9998,7,0,1,,,none
10371597,355094,10002,8,0,1,,,none
10381330,355297,9982,1,0,1,{"solution": 5},2019-10-14 06:31:54.84311+00,wrong
10381331,355297,9986,2,0,1,{"solution": 36},2019-10-14 06:40:08.04539+00,wrong
10381332,355297,9987,3,0,1,{"solution": "DCBA"},2019-10-14 06:41:47.777101+00,wrong
10381333,355297,9989,4,0,1,{"solution": 22},2019-10-14 06:43:44.226584+00,wrong
10381334,355297,9993,5,0,1,{"solution": 3},2019-10-14 06:49:07.038811+00,wrong
10381335,355297,9997,6,0,1,{"solution": 130},2019-10-14 06:50:34.096772+00,wrong
10381336,355297,9998,7,0,1,{"solution": 3},2019-10-14 07:02:58.946677+00,wrong
10381337,355297,9999,8,0,1,{"solution": 19},2019-10-14 07:24:08.358767+00,wrong
10380788,355298,9979,1,0,1,{"solution": 5},2019-10-14 06:41:35.529135+00,wrong
10380789,355298,9983,2,1,1,{"solution": 35},2019-10-14 06:41:31.001919+00,ok
10380790,355298,9987,3,1,1,{"solution": "ECBAD"},2019-10-14 06:41:26.130919+00,ok
10380791,355298,9988,4,0,1,{"solution": 23},2019-10-14 06:47:54.861891+00,wrong
10380792,355298,9992,5,1,1,{"solution": 7},2019-10-14 06:54:10.44416+00,ok
10380793,355298,9997,6,0,1,{"solution": 130},2019-10-14 07:16:13.349441+00,wrong
10380794,355298,9998,7,1,1,{"solution": 5},2019-10-14 07:03:33.165952+00,ok
10380795,355298,10002,8,0,1,{"solution": 19},2019-10-14 07:19:46.747742+00,wrong
10380596,355300,9982,1,0,1,{"solution": 5},2019-10-14 06:29:08.091917+00,wrong
10380597,355300,9985,2,0,1,{"solution": 38},2019-10-14 06:41:06.838592+00,wrong
10380598,355300,9987,3,0,1,{"solution": "ACBED"},2019-10-14 06:46:40.036042+00,wrong
10380599,355300,9989,4,0,1,{"solution": 28},2019-10-14 06:54:04.149632+00,wrong
10380600,355300,9992,5,0,1,{"solution": 9},2019-10-14 07:02:10.168991+00,wrong
10380601,355300,9994,6,1,1,{"solution": 3},2019-10-14 07:03:55.591197+00,ok
10380602,355300,9998,7,0,1,{"solution": 2},2019-10-14 07:08:45.357222+00,wrong
10380603,355300,10001,8,0,1,,,none
10380984,355301,9981,1,0,1,{"solution": 3},2019-10-14 06:29:58.915064+00,wrong
10380985,355301,9983,2,1,1,{"solution": 35},2019-10-14 06:37:48.843722+00,ok
10380986,355301,9987,3,0,1,{"solution": "DABCE"},2019-10-14 06:42:06.219987+00,wrong
